CODIGO;DESCRIPCION;SECTOR
100011;1/2 RES PORCINO;CARNICERIA
100010;1/2 RES VACUNO;CARNICERIA
27021;3D MEGA QUESO  23G ORIGINAL;ALMACEN
21557;3D MEGA QUESO  43G ;ALMACEN
24338;3D MEGA QUESO  85G ORIGINAL;ALMACEN
19846;3D MEGA QUESO  90G ORIGINAL ;ALMACEN
19099;3D MEGA QUESO 143G ;ALMACEN
06594;ABRELATA MARIPOSA MAKE;ALMACEN
27554;ABRELATA UÑA LOEKEMEYER CROMADO ;ALMACEN
06593;ABRELATA UÑA MAKE;ALMACEN
01887;ABRELATAS LOEKEMEYER MANIJA;ALMACEN
01862;ABRELATAS LOEKEMEYER MARIPOSA;ALMACEN
01860;ABRELATAS LOEKEMEYER UNA;ALMACEN
25571;ABROCH. DELI MINI N10 EXPLORA;ALMACEN
24098;ABROCHADORA DELI MINI N10 ZOO;ALMACEN
27652;ABROCHADORA EZCO MINI N10;ALMACEN
22455;ABROCHADORA MAPED MINI NIGHTFALL;ALMACEN
27147;ABROCHADORA NUSING AZUL;ALMACEN
27148;ABROCHADORA NUSING BLANCO;ALMACEN
27149;ABROCHADORA NUSING ROSA;ALMACEN
27150;ABROCHADORA NUSING VERDE;ALMACEN
16113;ACEIT.MARVAVIC 200G NEGRAS ENTERAS;FIAMBRERIA
13576;ACEIT.MARVAVIC 200G NEGRAS RODAJAS;FIAMBRERIA
13573;ACEIT.MARVAVIC 200G RELLENAS;FIAMBRERIA
13575;ACEIT.MARVAVIC 200G RODAJAS;FIAMBRERIA
08004;ACEIT.MARVAVIC 200G VERDES BANDEJA;FIAMBRERIA
13574;ACEIT.MARVAVIC 200G VERDES DESCAROZ;FIAMBRERIA
08005;ACEIT.MARVAVIC 200GR NEGRAS DESCAROZADAS;FIAMBRERIA
08057;ACEIT.MARVAVIC 200GR TROZOS MORRON;FIAMBRERIA
10904;ACEIT.MARVAVIC 220GR GRIEGAS FRASCO;FIAMBRERIA
22378;ACEIT.MARVAVIC 2KG GRIEGAS FRASCO;FIAMBRERIA
19368;ACEIT.MARVAVIC 300GR TROZOS MORRON;FIAMBRERIA
13577;ACEIT.MARVAVIC 330G CONDIMENTADAS;FIAMBRERIA
26778;ACEIT.MARVAVIC 330G NEGRAS;FIAMBRERIA
26777;ACEIT.MARVAVIC 330G VERDES;FIAMBRERIA
26779;ACEIT.MARVAVIC 3KG NEGRAS;FIAMBRERIA
28117;ACEIT.MARVAVIC 3KG NEGRAS ;FIAMBRERIA
27435;ACEIT.MARVAVIC 3KG NEGRAS RODAJAS;FIAMBRERIA
27212;ACEIT.MARVAVIC 4KG VERDES DESCAROZADAS;FIAMBRERIA
05831;ACEIT.MERIDIANO GRIEGAS 230G F;FIAMBRERIA
